chr	start	end	SDOA	TAD_length	Alu	GM12878_CTCF	GM12878_RNAseq	GM12878_H3K27me3	GM12878_DHS	GM12878_H3K4me3	GM12878_MRE
chr1	8010000	8270000	1.129051648	27	0.965776611	0.46546209	0.396287438	0.308738084	0.454813955	0.476163929	0.345496199
chr1	8270000	8410000	1.010294148	15	1.05821523	0.433890049	0.017796053	0.478516804	0.461072242	0.118126011	0.622885992
chr1	8410000	8610000	1.097795762	21	0.510573902	0.408091182	0.374300507	0.193742676	0.543130497	0.54723515	0.143152587
chr1	8610000	8790000	1.140574051	19	0.637054868	0.443010861	0.446660773	0.158011219	0.429883908	0.433538865	0.10513457
chr1	8790000	8940000	1.107978948	16	1.093688358	0.641062776	6.676346935	0.19225616	0.522247416	1.859719035	0.477582264
chr1	8940000	9070000	1.09525592	14	1.152493423	0.644069637	0.028826664	0.567163294	0.420574382	0.117053285	0.386702168
chr1	9070000	9160000	1.361753847	10	0.86490661	0.49252384	0.170214588	0.329235921	0.483380105	0.971714042	0.34050035
chr1	9160000	9320000	1.159212188	17	0.952094776	1.002637817	0.365995683	0.341279459	0.710815198	1.419050226	0.533197604
chr1	9320000	9540000	1.165237431	23	0.616341074	0.575677215	0.103888303	0.76533087	0.770486368	0.235692712	0.849925132
chr1	9540000	9650000	1.077117151	12	1.415301725	0.616187834	0.21014763	0.318024482	0.475114614	0.707861169	0.637096997
chr1	9650000	9800000	1.212137992	16	1.071368187	0.958467028	0.68360375	0.23586065	0.778372817	2.146830866	0.823305428
chr1	9800000	10000000	1.190380181	21	1.121588571	0.537085521	0.244477566	0.282438173	0.602920859	0.592311708	0.387336106
chr1	10000000	10110000	1.182459858	12	1.689231091	0.509580943	0.22755594	0.211716015	0.452842541	1.095723152	0.49585903
chr1	10110000	10230000	1.017816199	13	1.234584435	0.300986791	0.3117741	0.156084253	0.322018494	0.089004668	0.092840608
chr1	10230000	10420000	1.084102817	20	1.052865941	0.432038456	0.270493811	0.166385553	0.357195645	0.428854409	0.130927347
chr1	10420000	10560000	1.141042435	15	1.315295766	0.576286398	1.148311148	0.184044925	0.566420771	1.53153654	0.606534417
chr1	10560000	10750000	1.033826087	20	0.427313792	0.46166395	0.218656389	0.203939659	0.665484404	0.145369254	0.158879934
chr1	10750000	11690000	0.979747777	95	0.654467767	0.471315873	0.278424103	0.692548099	0.652954289	0.517656523	0.855648921
chr1	11690000	11970000	1.088130367	29	0.762273682	0.939815899	0.34214505	0.612303307	0.839745435	0.93618965	1.085962592
chr1	11970000	12060000	1.178973678	10	1.181109026	0.42998113	0.588201219	0.205910091	0.69862709	1.646107833	0.581631574
chr1	12060000	12160000	1.334424865	11	0.853746524	0.79741955	0.72004889	0.206130316	1.149686489	2.560463311	0.742012666
chr1	12160000	12310000	1.239681725	16	0.708665416	0.864652963	0.716456996	0.30060671	0.833808592	1.239940295	0.369327571
chr1	12310000	12740000	1.046957452	44	0.545027421	0.436889918	0.17122017	0.433740221	0.460097917	0.152369581	0.304519562
chr1	13740000	13970000	0.813332203	24	0.811532289	0.237594316	0.000447619	0.623906139	0.364435237	0.069905489	0.713838665
chr1	13970000	14150000	1.145204291	19	0.409203127	0.50946249	0.592967532	0.230134807	0.582462718	1.052743381	0.236213639
chr1	14150000	14310000	0.919626146	17	0.277258369	0.510113977	0.009608888	0.504176914	0.414632338	0.098694692	0.358263005
chr1	14310000	14930000	0.89211671	63	0.224101713	0.28976441	0.007051684	0.470250766	0.347957699	0.118178934	0.306558622
chr1	14930000	15430000	0.960635914	51	0.418503198	0.524889692	0.101950302	0.6142287	0.55775812	0.136894921	0.545994346
chr1	15430000	15630000	1.181798566	21	0.498018806	0.526531438	0.041009362	0.49401905	0.589629904	0.291992732	0.501339286
chr1	15630000	15840000	1.058817077	22	0.649676393	0.615375591	0.146551885	0.556853875	0.63034213	0.641489863	0.481245017
chr1	15840000	16120000	1.121943027	29	1.123980018	0.484147584	0.423183274	0.306505586	0.600621854	0.934754091	0.517799871
chr1	16120000	16390000	1.232597266	28	0.976507462	0.659304399	0.397752041	0.291430681	0.611367073	1.088898205	0.720115282
chr1	16390000	16690000	1.118473155	31	0.956977313	0.573047579	0.164517891	0.513674104	0.645084613	0.491726863	0.867461948
chr1	16690000	16860000	1.128570191	18	1.048719779	0.398709775	8.727857993	0.262326476	0.590642262	1.016713661	0.64834315
chr1	16860000	16960000	1.150474178	11	0.326432495	0.640280992	0.24969382	0.479649388	0.73796983	0.262420214	1.637860948
chr1	17390000	17590000	1.12717119	21	0.40176307	0.494869192	0.001235428	0.697671837	0.67698669	0.124893647	0.503933735
chr1	17590000	17720000	1.006623523	14	0.746867246	0.571904972	0.001795067	0.860655053	0.52846326	0.085691839	0.734898473
chr1	17720000	17810000	0.893463055	10	1.264809666	0.807843335	1.479463717	0.323730303	0.623105523	1.262016005	0.506341656
chr1	17810000	17970000	1.096680128	17	0.737611887	0.697742107	0.006563214	0.834926879	0.60592647	0.123816977	0.942777302
chr1	17970000	18900000	0.899316359	94	0.218701671	0.48495819	0.000693729	0.909492475	0.56200831	0.111695764	0.754769942
chr1	18900000	19190000	0.750770376	30	0.323257643	0.520829808	0.000236672	1.156065745	0.676220884	0.104548308	1.137032132
chr1	19190000	19390000	1.080360701	21	0.40176307	0.755203221	0.145059892	0.653076336	0.905753929	0.764004583	0.66906284
chr1	19390000	19670000	1.057511729	29	0.62177618	0.489173338	1.031974967	0.254831434	0.565041368	1.199307135	0.333027075
chr1	19670000	19820000	1.130722383	16	0.541264136	0.641062776	0.728490985	0.288714577	0.732075361	1.229987085	0.29363068
chr1	19820000	19980000	0.972285104	17	1.088108315	0.353268588	0.208221172	0.405695182	0.435600617	0.620161556	0.303130945
chr1	19980000	20220000	1.03451012	25	0.69750533	0.784715562	0.181625143	0.399707823	0.603047079	0.468231545	0.340457957
chr1	20220000	20530000	1.06720828	32	0.364502786	0.519003616	0.050612715	0.555925277	0.471956526	0.135220411	0.310940141
chr1	20530000	20830000	1.002648957	31	0.262262004	0.56522974	0.021551363	1.078880786	0.670808227	0.11962993	0.828392585
chr1	20830000	20990000	1.041391182	17	0.863162846	0.664027677	0.622861851	0.675745716	0.572604419	1.053700421	0.805042536
chr1	20990000	21530000	0.978702144	55	0.874206681	0.387417341	0.708019986	0.226831437	0.378428266	0.389515051	0.261649422
chr1	21530000	21710000	1.140751696	19	0.892806823	0.983744707	0.491731033	0.317674124	0.682681311	1.064546868	0.452078652
chr1	21710000	21830000	1.069973269	13	0.460353518	0.275578815	0.079788088	0.317949405	0.28670848	0.146427034	0.497778276
chr1	21830000	21980000	0.984606409	16	0.513363923	0.528485898	0.001464212	0.873411145	0.812174503	0.1358996	1.334055954
chr1	21980000	22130000	1.144034276	16	1.071368187	0.46437962	1.039452905	0.276822443	0.434549837	1.062696591	0.440140791
chr1	22130000	22330000	1.008253352	21	0.770045885	0.412781885	0.00768711	0.531677473	0.696411931	0.120586969	0.830223961
chr1	22330000	22440000	1.163898676	12	1.027235123	0.530902321	2.896019028	0.1594627	0.532326648	1.435559156	0.543030846
chr1	22440000	22740000	0.881084775	31	0.371072836	0.511286653	0.013910009	0.893892042	0.649439199	0.125180758	0.767041476
chr1	22740000	23000000	1.019333344	27	0.341241069	0.464560032	0.170003404	0.715433806	0.61854057	0.260609201	0.795826956
chr1	23000000	23290000	1.012604141	30	0.409844511	0.482818937	0.015833365	0.975291646	0.731426852	0.11623079	0.681714072
chr1	23290000	23400000	1.073253956	12	0.73047831	0.567148664	0.848826709	0.328835512	0.422171108	0.83575644	0.2577801
chr1	23400000	23530000	1.131248845	14	0.86919895	0.519585589	0.890881193	0.273671536	0.534550943	0.53711998	0.274471666
chr1	23530000	23620000	1.004310375	10	1.088108315	0.323137334	0.312593906	0.469078603	0.326025975	0.087409602	0.353726957
chr1	23620000	23740000	1.096859869	13	0.892806823	0.451480187	2.193857852	0.379061758	0.560700306	1.734633981	0.43393446
chr1	23740000	23990000	1.139488166	26	0.853746524	0.731749705	0.279975544	0.575579266	0.767240222	1.2580092	0.690062622
chr1	23990000	24110000	1.19527007	13	1.164833902	0.777874954	6.737432009	0.308865136	0.533373699	2.748617265	0.417401201
chr1	24110000	24260000	1.306542447	16	1.026727846	0.816182363	1.418317634	0.272197724	0.756991167	1.895320902	0.597232188
chr1	24260000	24380000	1.20143238	13	1.011382729	0.392846396	2.69718056	0.25931458	0.46426831	1.824117168	0.245455307
chr1	24380000	24510000	1.068142252	14	0.547273413	0.662110803	0.05480234	1.114506366	0.603641769	0.105127101	0.652486535
chr1	24510000	24730000	1.156138032	23	0.448939794	0.582073629	0.007487445	1.009930436	0.59811016	0.181924497	0.497385177
chr1	24730000	24970000	1.046957864	25	0.83351887	0.532590263	0.042954017	0.719308914	0.485930798	0.426600329	0.431772419
chr1	24970000	25180000	1.155692483	22	1.056222357	0.513743688	1.119958391	0.171303353	0.4581782	0.905632748	0.364967151
chr1	25180000	25250000	0.980734462	8	0.406545964	0.653347951	0.782928277	0.563460615	0.760889559	0.273986719	0.376304243
chr1	25250000	25390000	1.267694844	15	0.143486811	0.832599825	0.575160585	0.478516804	1.040069924	4.601582336	0.989815332
chr1	25390000	25560000	1.096614433	18	0.561286642	0.591856379	0.163108856	0.722272231	0.615010126	0.497885693	0.377945813
chr1	25560000	25700000	1.127279441	15	0.89081395	0.189303381	0.718411457	0.079280891	0.289620553	1.307999471	0.685021977
chr1	25700000	25860000	1.163861973	17	0.596367057	0.401641465	0.276255532	0.245275255	0.375133401	0.581401458	0.31076168
chr1	25860000	26140000	1.092070485	29	0.430460432	0.681827221	0.10282981	0.98641001	0.745959549	0.39170257	0.606207386
chr1	26140000	26350000	1.130042395	22	0.817077673	0.646646946	0.697069267	0.406786474	0.640313501	1.322901943	0.459878959
chr1	26350000	26570000	1.086294065	23	0.852224695	0.705737623	0.141606308	0.763529032	0.721312247	1.000715237	0.941493951
chr1	26570000	26780000	1.118815456	22	0.960564483	0.925855472	0.657064917	0.494089836	0.66238395	1.044266746	0.835601813
chr1	26780000	26910000	1.22261319	14	1.100985337	0.81906895	2.007993623	0.272146903	0.747328549	2.195742943	0.577822729
chr1	26910000	27030000	1.237930716	13	1.325260128	0.625427098	0.154371362	0.20893818	0.557355479	2.031794726	0.491928046
chr1	27030000	27120000	1.268022927	10	0.734705615	0.536824926	1.138348191	0.244449413	0.737629036	1.143981141	0.328969462
chr1	27120000	27240000	1.23707027	13	1.067183155	0.944004027	0.551252756	0.245275255	0.781932218	2.332305109	0.745014088
chr1	27240000	27440000	1.108219493	21	1.096478379	0.857226017	0.226357949	0.546047134	0.626170562	0.436984207	0.647391552
chr1	27440000	27620000	1.1620721	19	1.222959346	0.422163291	0.139672051	0.240595481	0.450415677	0.603253859	0.252831684
chr1	27620000	27730000	1.177851133	12	0.623950223	1.594839101	0.33350329	0.427035706	1.136977293	1.200127455	0.947321058
chr1	27730000	27850000	1.220021834	13	1.171808955	0.392846396	0.558059052	0.187466273	0.503491141	0.876169605	0.399596153
chr1	27850000	27920000	1.261778365	8	0.275016387	0.834275076	0.083636546	0.361011198	1.304374373	0.379807937	0.405519057
chr1	27920000	28010000	1.390401812	10	0.632404833	1.357697993	0.743926214	0.282988735	1.157899196	2.774776343	0.76273435
chr1	28010000	28160000	1.060421023	16	1.082528273	0.320531388	0.413777022	0.189613463	0.406301825	1.162994325	0.302584076
chr1	28160000	28570000	1.206045178	42	1.084025357	0.427883661	0.988058188	0.210771148	0.498879497	1.36735259	0.378186668
chr1	28570000	28690000	1.247686956	13	1.5833371	0.451480187	0.268133733	0.261792108	0.457547101	1.138876931	0.520416123
chr1	28690000	28830000	1.118261057	15	1.488675662	0.296519455	0.38612042	0.118921336	0.277395255	0.449945256	0.156103035
chr1	28830000	28970000	1.135243084	15	1.668034176	0.519327858	12.57381832	0.170595488	0.605720236	3.832532788	0.782041321
chr1	28970000	29090000	1.123031371	13	1.611237313	0.424117751	0.773515489	0.136264031	0.467581582	1.796841544	0.432153955
chr1	29090000	29210000	1.114949781	13	1.213659275	0.682106429	0.105926552	0.556617919	0.539148259	0.121065489	0.526011995
chr1	29210000	29560000	1.054680725	36	0.985276101	0.394689172	0.928277416	0.209528068	0.478225525	0.770280027	0.357554437
chr1	31170000	31270000	1.321330172	11	0.251101919	1.132804832	3.135654713	0.562894323	1.097166392	3.934006312	0.875397912
chr1	31270000	31410000	1.040673233	15	0.400567347	0.718682746	0.161537174	1.234516725	0.77073471	0.124278407	0.760675263
chr1	31410000	31560000	1.068228739	16	1.049048017	0.275187923	0.883194082	0.16648987	0.390423363	0.766014366	0.143254331
chr1	31560000	31870000	0.866372647	32	1.179909017	0.518247051	0.365226307	0.379461359	0.415560665	0.501982621	0.460305624
chr1	31870000	32020000	1.175053285	16	0.496623795	0.573829363	0.011484909	0.390458386	0.442324982	0.558528216	0.380112343
chr1	32020000	32110000	1.17218513	10	0.474303625	1.188311487	0.316712001	0.505415678	0.663832474	0.496384455	0.614189377
chr1	32110000	32270000	1.140606363	17	0.130782249	1.065669142	0.014155951	1.052329946	1.155503648	0.653897196	1.583568268
chr1	32270000	32650000	1.142673581	39	1.132161284	0.513508565	1.335364513	0.252447046	0.541154491	1.593621775	0.360732954
chr1	32650000	32880000	1.208714145	24	1.088108315	0.781104061	2.088799184	0.279206615	0.725676561	1.876712727	0.799966439
chr1	32880000	33140000	1.088495354	27	1.274825127	0.376158317	0.613279361	0.35028432	0.365639602	0.60691024	0.443521794
chr1	33140000	33280000	1.071490808	15	1.153873104	0.581312151	1.179687109	0.460820177	0.614240078	0.227638666	0.54156416
chr1	33280000	33360000	1.099042257	9	0.763768337	1.002637817	1.230452433	0.514087025	0.763425226	1.948053775	0.940488081
chr1	33360000	33570000	1.197034085	22	0.769248736	0.594155743	1.139012751	0.393572993	0.686347698	1.008719567	0.45057673
chr1	33570000	33730000	1.014094519	17	0.413271908	0.507182288	0.088968008	0.47754349	0.620741529	0.932036782	0.423315021
chr1	33730000	33830000	1.048982316	11	0.267842047	0.708296189	0.323407718	0.404332542	0.766482903	1.019821225	0.411449228
chr1	33830000	33970000	1.134790474	15	0.275016387	0.609791421	0.084126795	0.617258363	0.552248081	0.353967872	0.328339623
chr1	33970000	34110000	0.761845308	15	0.185337131	0.743811513	0.001519773	0.894033615	0.476651383	0.108282176	0.557697714
chr1	34110000	34910000	0.815170464	81	0.136013539	0.288771418	0.001509968	0.71129824	0.418754995	0.104795818	0.346244598
chr1	34910000	35080000	1.106947231	18	0.157554145	0.48286651	0.003835481	0.532231273	0.433453951	0.113493618	0.221919727
chr1	35080000	35220000	0.929417008	15	0.173379896	0.52100311	0.0003922	0.906775186	0.487443183	0.097618023	0.425576989
chr1	35220000	35340000	1.096603104	13	0.292952239	0.938140647	0.182054111	0.699488691	0.68161896	0.763717471	0.806059967
chr1	35340000	35640000	1.043784118	31	0.806316162	0.258770462	0.149395331	0.367995467	0.394992523	0.497660508	0.320999583
chr1	35640000	35900000	0.982423389	27	0.9593381	0.359921268	1.568439791	0.152082093	0.349837843	1.017480159	0.17820701
chr1	35900000	36040000	1.223634424	15	0.520139689	0.678476718	0.565551697	0.215898854	0.56314807	0.840007186	0.262279261
chr1	36040000	36260000	1.068755602	23	0.916902462	0.479731013	0.727030933	0.387395261	0.528901499	0.965217775	0.42801486
chr1	36260000	36550000	0.963188725	30	0.926479494	0.355846452	0.542168492	0.177015092	0.35928274	0.624715743	0.230290318
chr1	36550000	36770000	1.133793554	23	1.076694592	0.683350176	1.280353136	0.287843688	0.743377778	1.711969547	0.631547372
chr1	36770000	36940000	1.143365861	18	0.758229324	0.722920146	0.540237526	0.360844642	0.821713757	1.472377026	0.714954977
chr1	36940000	37800000	0.901355115	87	0.182000228	0.486796819	0.000726253	1.053122179	0.555779931	0.106631999	0.618054038
chr1	37800000	37900000	0.845807568	11	0.326432495	0.384637665	0.001441333	0.915694287	0.453596418	0.097043799	0.499965753
chr1	37900000	38040000	1.128443581	15	0.884835333	0.871130601	0.69223214	0.361719063	0.560389264	2.65496412	0.657115289
chr1	38040000	38170000	1.07757015	14	0.624535542	0.548451455	0.578011574	0.797382804	0.724288565	1.549962178	0.717758668
chr1	38170000	38260000	1.022266419	10	0.69750533	0.370044366	0.150157941	0.877595414	0.542703453	0.169714994	1.165637155
chr1	38260000	38490000	1.145892683	24	0.997129359	0.640382964	1.092011334	0.196478729	0.595055439	1.746139259	0.622269846
chr1	38490000	39070000	1.093613316	59	0.230898316	0.42984634	0.012224115	0.688069281	0.583697352	0.234639669	0.349435034
chr1	39070000	39300000	0.973718326	24	0.258380235	0.333447817	0.002148571	0.860456188	0.457355027	0.113097095	0.420818443
chr1	39300000	39460000	1.061960276	17	1.276434755	0.322485848	0.309543465	0.289870756	0.444238791	1.278365429	0.321444709
chr1	39460000	39550000	1.079947116	10	1.534511727	0.247564893	1.439045378	0.253258401	0.303769202	0.703743	0.333378331
chr1	39550000	39740000	1.182843519	20	0.898680552	0.614729003	0.256477839	0.195594302	0.555294441	0.814188709	0.179282109
chr1	39740000	39920000	1.044620924	19	0.637054868	0.351802743	2.864973861	0.178932566	0.383392915	0.19874519	0.081903222
chr1	39920000	40030000	1.124957515	12	0.684823415	0.449881083	0.74312894	0.204508661	0.452395034	0.356018671	0.564396904
chr1	40030000	40260000	1.154037826	24	0.578626161	0.764788571	0.352186636	0.62304439	0.798692024	1.074796899	0.745821398
chr1	40260000	40370000	1.216912555	12	0.814178949	0.765437483	0.393402852	0.42253111	0.528299086	0.793472697	0.554130097
chr1	40370000	40530000	1.256415958	17	1.082877025	0.45880941	0.558345031	0.242178346	0.566545864	1.475754813	0.445253384
chr1	40530000	40790000	1.162682842	27	0.801594587	0.536724697	1.78102324	0.274052694	0.419831627	0.961162069	0.35958371
chr1	40790000	40890000	1.175575805	11	0.719825501	0.560539037	1.256911193	0.202166271	0.479799667	1.778370683	0.447161067
chr1	40890000	41020000	1.173216194	14	0.907830015	0.357215093	0.289533748	0.189816748	0.427011597	1.130778905	0.384589041
chr1	41020000	41150000	1.076179019	14	0.69535916	0.757728984	0.0094505	0.420036257	0.470004033	0.208487361	0.288559177
chr1	41150000	41330000	1.187168792	19	0.483603696	0.566793308	0.400446597	0.456966244	0.779639223	1.056890552	0.40425938
chr1	41330000	41460000	1.067984507	14	0.95289959	0.425771525	0.166096494	0.462725967	0.495403358	0.664774317	0.586040443
chr1	41460000	41720000	1.029979121	27	0.383091389	0.298581302	0.833544641	0.157418307	0.319559633	0.309639067	0.104599767
chr1	41720000	42350000	1.102666005	64	0.186001421	0.644413278	0.104434015	0.561415672	0.761322313	0.268062189	0.404598524
chr1	42350000	42520000	1.065106492	18	0.137859877	0.34490465	0.251567149	0.286227333	0.447286166	0.544499144	0.256213147
chr1	42520000	42630000	1.006632711	12	0.228274472	0.343274191	0.001060721	0.479289021	0.343409897	0.098662066	0.253062919
chr1	42630000	42810000	1.095506025	19	0.409203127	0.486008974	0.61226157	0.179483127	0.380132235	0.600701754	0.164993447
chr1	42810000	43120000	0.942247068	32	0.599404581	0.313217926	0.218236888	0.446914053	0.316962573	0.335272526	0.253241939
chr1	43120000	43230000	1.096610827	12	0.692432564	0.515977356	5.354708858	0.226130722	0.562722692	2.496828889	0.373767271
chr1	43230000	43370000	1.016832958	15	0.448396284	0.410436533	0.292335712	0.321370753	0.535370678	1.488059605	0.485096721
chr1	43370000	44110000	1.04218398	75	0.478450954	0.443398232	0.2819782	0.545725725	0.643880066	0.899746401	0.531140399
chr1	44110000	44210000	1.205102654	11	0.878856716	0.386983017	0.563904459	0.223968516	0.638495935	1.72611633	0.310418297
chr1	44210000	44420000	1.13871154	22	0.46234639	0.586337905	0.226429852	0.214719079	0.572821923	0.538129604	0.214968704
chr1	44420000	44540000	1.201726412	13	0.390602985	0.879506857	0.537239795	0.504589835	0.949930891	2.12749867	0.961472602
chr1	44540000	44670000	0.979320098	14	0.95289959	0.294071011	0.007761025	0.47034913	0.283557837	0.061397761	0.326595455
chr1	44670000	44840000	0.968937805	18	0.260949053	0.589097142	0.36146376	0.32295304	0.64873311	0.621850449	0.160335207
chr1	44840000	45060000	0.823261019	23	0.498399263	0.402974051	0.000561558	1.042363528	0.474804802	0.112495636	0.64417277
chr1	45060000	45160000	1.217285883	11	0.460353518	1.21723749	0.375638888	0.558930279	0.956872985	1.035325264	0.609543107
chr1	45160000	45300000	1.286169668	15	1.094086932	1.186077819	5.721896738	0.29588761	0.928311227	2.154569214	0.91721434
chr1	45300000	45480000	1.06701286	19	1.032307889	0.321834361	0.414402363	0.183887621	0.396435637	0.746490761	0.240283365
chr1	45480000	45770000	0.979424045	30	0.63497037	0.360698904	0.049819481	0.346853896	0.310422586	0.174643197	0.272811931
chr1	45770000	45950000	1.146178532	19	1.097408386	0.310107603	0.274501528	0.240595481	0.338311378	0.909187466	0.290646215
chr1	45950000	46070000	1.290321243	13	1.360135394	0.619563719	2.828902401	0.191595486	0.736398392	2.980699328	0.915688193
chr1	46070000	46150000	0	9	0.910244456	0.284373884	2.747627222	0.174665712	0.358354045	0.251222852	0.061808953
chr1	46150000	46490000	1.05780465	35	0.871471366	0.310414185	0.348382752	0.164099785	0.351084336	0.6731928	0.236642556
chr1	46490000	46700000	1.192837482	22	0.793163204	0.594155743	0.47992147	0.252943794	0.558000102	0.780123862	0.273979721
chr1	46700000	46850000	1.173814099	16	1.16064887	0.650444182	1.608710887	0.19555953	0.543553334	2.866141708	0.669266326
chr1	46850000	47040000	1.048935822	20	0.36123434	1.031954712	0.062782885	1.154267177	0.901249872	0.115751401	1.085974067
chr1	47040000	47210000	1.100143403	18	0.34957326	0.451135282	0.859147638	0.273985431	0.503684183	1.174118501	0.329647749
chr1	47210000	47330000	0	13	0.153451173	0.252125299	0.002802592	0.458342649	0.242089749	0.075606116	0.26504086
chr1	47330000	47630000	0	31	0.156241194	0.1696471	0.004507026	0.250725817	0.147475319	0.046512117	0.219154707
chr1	47630000	47730000	1.074805072	11	0.451983454	0.978011625	0.224916615	0.915694287	0.587339013	0.177435112	0.715457708
chr1	47730000	47900000	1.061103784	18	1.024101944	0.52149583	1.047691786	0.364342328	0.492502585	1.011309203	0.432707558
chr1	47900000	48550000	0.834846626	66	0.135208726	0.478812554	0.00310441	1.05138658	0.604608807	0.191702361	0.659436374
chr1	48550000	48710000	0.921966205	17	0.09416322	0.548225941	0.027882934	0.436044898	0.303117065	0.078596864	0.306183239
chr1	48710000	48990000	0.82259657	29	0.179358514	0.296519455	0.009584376	0.22368537	0.213374724	0.088799588	0.230448195
chr1	48990000	49160000	0.835587229	18	0.177248413	0.527014305	0.000242241	0.826619874	0.399753241	0.109778053	0.273988271
chr1	49160000	50810000	0.640255859	166	0.131891917	0.286132897	0.002034089	0.308354615	0.25206112	0.077467992	0.180843793
chr1	50810000	51200000	0.930041684	40	0.538688732	0.320531388	0.324907127	0.26401553	0.306190034	0.075090787	0.39171106
chr1	51200000	51320000	0.933548078	13	0.418503198	0.322485848	0.448529168	0.124702234	0.211481425	0.078477234	0.043495189
chr1	51320000	51660000	0.986182694	35	0.617907663	0.408367105	0.144860043	0.336652311	0.31762864	0.546694705	0.234487996
chr1	51660000	51790000	1.169079842	14	0.9593381	0.461853857	0.310704979	0.284343963	0.497267529	0.710270499	0.214364954
chr1	51790000	52020000	1.085110109	24	0.702357541	0.28348163	1.105857682	0.201218347	0.411471353	0.662104849	0.153278241
chr1	52020000	52240000	1.101207795	23	0.654386819	0.388049086	0.506900043	0.210364636	0.393220855	0.672363707	0.166211281
chr1	52240000	52340000	0.99290833	11	0.669605117	0.297859656	1.84271019	0.143696614	0.269529953	0.185474243	0.070202761
chr1	52340000	52510000	1.231783907	18	0.827159262	0.376635878	0.226939327	0.41505878	0.480541395	1.242687561	0.42875753
chr1	52510000	52820000	0.97789939	32	0.880206727	0.305652275	0.288576606	0.316803881	0.30364841	0.540511177	0.210115979
chr1	52820000	53160000	1.073504287	35	0.856700665	0.340765794	0.547686432	0.309836716	0.421993928	0.799353116	0.292032715
chr1	53160000	53300000	1.13874892	15	1.351167468	0.298194706	0.275176983	0.169887623	0.321346824	0.590630053	0.280811046
chr1	53300000	53390000	1.126877185	10	1.199709168	0.547248711	0.094716182	0.179483127	0.430241531	0.856231283	0.428677732
chr1	53390000	53520000	1.016567121	14	0.7790598	0.241751628	0.369519821	0.187529799	0.303335523	0.456286956	0.195581606
chr1	53520000	53660000	0.776853058	15	0.322845324	0.479121831	0.000931474	0.820415645	0.540266207	0.117305691	1.002678571
chr1	53660000	53910000	1.114161152	26	0.274538098	0.483142433	0.60170857	0.433270067	0.708699437	1.160391177	0.488122853
chr1	53910000	54210000	0.830151239	31	0.242731855	0.480015298	0.00228783	1.07954146	0.652594696	0.128243285	0.931967094
chr1	54210000	54450000	0.945106564	25	0.73935565	0.449525727	0.77511697	0.187053351	0.395746687	0.984075802	0.23108409
chr1	54450000	54540000	0.982530172	10	0.69750533	0.385680044	0.431179786	0.32593255	0.427254327	1.375584685	0.422234
chr1	54540000	54870000	1.01121877	34	0.421039581	0.442773957	0.441052121	0.318925401	0.678982686	0.436932005	0.257965088
